product_name,brand,powertrain,source,product_id
创维EV6,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,79
风行景逸S50,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,80
荣威i6 MAX EV,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,81
比亚迪宋MAX,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,82
几何E,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,83
雷丁芒果,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,84
欧尚Z6,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,85
帕萨特PHEV,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,86
荣威ERX5 PHEV,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,87
蔚来ET5,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,88
奥迪Q4 e-tron,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,89
凌宝uni,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,90
LYRIQ锐歌,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,91
梦想家 PHEV,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,92
ID.6 X,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,93
理想ONE,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,94
长安UNI-K,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,95
迈腾GTE,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,96
蔚来ES8,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,97
比亚迪e6,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,98
小鹏G3,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,99
思皓爱跑,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,100
奔驰EQE,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,101
岚图FREE PHEV,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,102
风光MINIEV,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,103
荣威iMAX8 EV,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,104
比亚迪e3,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,105
羿,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,106
岚图FREE EV,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,107
探岳GTE,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,108
欧拉芭蕾猫,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,109
e:NP1 极湃1,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,110
比亚迪D1,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,111
威马E5,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,112
